City ID,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kumano,JP,2021-12-21 09:22:55,34.3442,132.5894,56.35,74,4,7.61
1,Ushuaia,AR,2021-12-21 09:20:56,-54.8,-68.3,46.06,61,20,34.52
2,Albany,US,2021-12-21 09:21:12,42.6001,-73.9662,32.72,70,89,1.01
3,Biak,ID,2021-12-21 09:22:56,-0.9131,122.8766,78.53,80,100,5.82
4,Iqaluit,CA,2021-12-21 09:21:29,63.7506,-68.5145,-11.31,76,20,13.0
5,Bagado,CO,2021-12-21 09:22:57,5.4116,-76.4152,72.19,100,100,0.96
6,Port Alfred,ZA,2021-12-21 09:22:57,-33.5906,26.891,77.49,71,29,22.91
7,Cape Town,ZA,2021-12-21 09:22:58,-33.9258,18.4232,89.11,44,0,3.44
8,Mataura,NZ,2021-12-21 09:22:58,-46.1927,168.8643,59.49,53,29,9.26
9,Hobart,AU,2021-12-21 09:20:07,-42.8794,147.3294,61.27,45,40,1.99
10,Envira,BR,2021-12-21 09:22:59,-7.3,-70.2167,72.43,99,100,2.1
11,Tasiilaq,GL,2021-12-21 09:22:59,65.6145,-37.6368,32.16,68,44,5.01
12,Atuona,PF,2021-12-21 09:22:21,-9.8,-139.0333,77.7,77,46,13.24
13,Naze,JP,2021-12-21 09:23:00,28.3667,129.4833,59.92,75,100,4.25
14,Geraldton,AU,2021-12-21 09:19:41,-28.7667,114.6,73.81,64,40,19.57
15,Busselton,AU,2021-12-21 09:20:44,-33.65,115.3333,88.09,51,52,20.83
16,Mundo Nuevo,MX,2021-12-21 09:23:01,18.7,-95.5,72.5,81,99,17.56
17,Shache,CN,2021-12-21 09:23:01,38.4167,77.2406,42.08,27,0,7.7
18,Hirado,JP,2021-12-21 09:23:02,33.3597,129.5531,54.75,57,7,15.5
19,Dikson,RU,2021-12-21 09:23:02,73.5069,80.5464,-23.73,97,100,15.37
20,Dickinson,US,2021-12-21 09:23:02,29.4608,-95.0513,47.95,91,1,1.01
21,Talnakh,RU,2021-12-21 09:23:03,69.4865,88.3972,-27.42,91,65,7.27
22,Pisco,PE,2021-12-21 09:23:03,-13.7,-76.2167,62.65,88,0,3.44
23,Bredasdorp,ZA,2021-12-21 09:23:04,-34.5322,20.0403,80.28,73,75,12.66
24,Avarua,CK,2021-12-21 09:23:04,-21.2078,-159.775,77.05,78,40,5.75
25,Port Hardy,CA,2021-12-21 09:23:05,50.6996,-127.4199,35.6,93,75,6.91
26,East London,ZA,2021-12-21 09:23:05,-33.0153,27.9116,79.74,69,20,17.27
27,Poum,NC,2021-12-21 09:21:21,-20.2333,164.0167,80.4,81,10,12.8
28,Trenggalek,ID,2021-12-21 09:22:28,-8.05,111.7167,77.45,93,100,0.98
29,Rikitea,PF,2021-12-21 09:19:19,-23.1203,-134.9692,76.12,80,73,17.58
30,Hamilton,US,2021-12-21 09:18:19,39.1834,-84.5333,30.78,92,1,0.0
31,Hilo,US,2021-12-21 09:21:27,19.7297,-155.09,68.79,46,75,5.75
32,Vredendal,ZA,2021-12-21 09:23:07,-31.6683,18.5012,92.48,29,91,3.91
33,Bethel,US,2021-12-21 09:23:07,41.3712,-73.414,32.56,67,1,1.01
34,New Norfolk,AU,2021-12-21 09:23:08,-42.7826,147.0587,60.66,40,47,5.99
35,Marsa Matruh,EG,2021-12-21 09:23:08,31.3525,27.2453,59.76,59,13,20.27
36,Goderich,CA,2021-12-21 09:23:08,43.7501,-81.7165,34.92,75,99,11.5
37,Srednekolymsk,RU,2021-12-21 09:23:09,67.45,153.6833,-13.23,96,100,12.73
38,Kavieng,PG,2021-12-21 09:23:09,-2.5744,150.7967,82.87,76,100,10.25
39,San Patricio,US,2021-12-21 09:23:10,28.017,-97.5169,55.83,84,0,5.12
40,Lebu,CL,2021-12-21 09:23:10,-37.6167,-73.65,52.43,88,2,17.47
41,Zharkovskiy,RU,2021-12-21 09:23:11,55.849,32.2697,8.58,87,100,7.92
42,Butaritari,KI,2021-12-21 09:23:11,3.0707,172.7902,81.73,72,99,10.54
43,Orlovskiy,RU,2021-12-21 09:23:11,46.8714,42.0592,35.74,65,65,10.92
44,Gimli,CA,2021-12-21 09:23:12,50.6336,-96.9907,0.43,77,100,5.75
45,Puerto Ayora,EC,2021-12-21 09:18:59,-0.7393,-90.3518,68.56,97,75,4.0
46,Arraial Do Cabo,BR,2021-12-21 09:23:13,-22.9661,-42.0278,75.06,78,0,10.36
47,Constitucion,CL,2021-12-21 09:20:56,-35.3333,-72.4167,57.96,64,0,7.58
48,Mahebourg,MU,2021-12-21 09:23:13,-20.4081,57.7,86.29,62,40,12.66
