City_ID,City,Country,Max Temp,Latitude,Longitude,Hotel Name
3,Biak,ID,78.53,-0.9131,122.8766,
6,Port Alfred,ZA,77.49,-33.5906,26.891,
7,Cape Town,ZA,89.11,-33.9258,18.4232,
12,Atuona,PF,77.7,-9.8,-139.0333,
15,Busselton,AU,88.09,-33.65,115.3333,
23,Bredasdorp,ZA,80.28,-34.5322,20.0403,
24,Avarua,CK,77.05,-21.2078,-159.775,
26,East London,ZA,79.74,-33.0153,27.9116,
27,Poum,NC,80.4,-20.2333,164.0167,
28,Trenggalek,ID,77.45,-8.05,111.7167,
29,Rikitea,PF,76.12,-23.1203,-134.9692,
38,Kavieng,PG,82.87,-2.5744,150.7967,
42,Butaritari,KI,81.73,3.0707,172.7902,
46,Arraial Do Cabo,BR,75.06,-22.9661,-42.0278,
48,Mahebourg,MU,86.29,-20.4081,57.7,
49,Bafq,IR,75.25,31.6128,55.4107,
52,Faanui,PF,80.08,-16.4833,-151.75,
55,Kruisfontein,ZA,80.89,-34.0033,24.7314,
56,Ipixuna,BR,76.95,-1.7625,-48.8043,
57,Hermanus,ZA,88.9,-34.4187,19.2345,
59,Bambous Virieux,MU,86.25,-20.3428,57.7575,
66,Igboho,NG,79.7,8.8333,3.75,
72,Georgetown,MY,82.33,5.4112,100.3354,
73,Sorong,ID,82.92,-0.8833,131.25,
74,Watsa,CD,83.01,3.0372,29.5355,
81,Alofi,NU,76.89,-19.0595,-169.9187,
82,Vaini,TO,78.96,-21.2,-175.2,
83,Souillac,MU,86.38,-20.5167,57.5167,
90,Hithadhoo,MV,82.2,-0.6,73.0833,
92,Manadhoo,MV,81.84,5.7667,73.3833,
95,Port Elizabeth,ZA,83.1,-33.918,25.5701,
96,Antananarivo,MG,82.36,-18.9137,47.5361,
100,Ternate,ID,81.12,0.8,127.4,
102,Charters Towers,AU,82.53,-20.1,146.2667,
105,Beloha,MG,79.57,-25.1667,45.05,
112,Lorengau,PG,82.54,-2.0226,147.2712,
118,Labuhan,ID,79.38,-6.8844,112.2051,
124,Bontang,ID,80.98,0.1333,117.5,
127,Bathsheba,BB,77.61,13.2167,-59.5167,
128,Simpang,ID,82.2,-1.2667,104.0833,
131,Luganville,VU,79.11,-15.5333,167.1667,
134,Chiang Klang,TH,83.53,19.2938,100.8617,
137,Floriano,BR,75.65,-6.7669,-43.0225,
138,Basco,PH,78.22,20.4487,121.9702,
140,Garissa,KE,85.19,-0.4536,39.6401,
142,Sawtell,AU,78.82,-30.3833,153.1,
149,Saint-Philippe,RE,83.79,-21.3585,55.7679,
151,Bengkulu,ID,83.12,-3.8004,102.2655,
153,Tabou,CI,81.64,4.423,-7.3528,
156,Blackwater,AU,86.99,-23.5833,148.8833,
164,Mount Isa,AU,87.57,-20.7333,139.5,
173,Manggar,ID,79.81,-2.8833,108.2667,
174,Puerto Carreno,CO,77.16,6.189,-67.4859,
177,Natitingou,BJ,75.25,10.3042,1.3796,
186,Veraval,IN,78.26,20.9,70.3667,
188,Maridi,SS,87.93,4.9158,29.4742,
191,Isangel,VU,82.51,-19.55,169.2667,
198,Nikki,BJ,78.12,9.9401,3.2108,
202,Manthani,IN,77.72,18.65,79.6667,
203,Thiruvananthapuram,IN,87.78,8.4833,76.9167,
208,Palauig,PH,81.99,15.435,119.9045,
209,Duku,NG,78.12,11.2361,4.9073,
211,Cap Malheureux,MU,86.49,-19.9842,57.6142,
215,Pitimbu,BR,77.59,-7.4706,-34.8086,
216,Vaitape,PF,80.19,-16.5167,-151.75,
220,Cockburn Town,TC,79.12,21.4612,-71.1419,
230,Koulamoutou,GA,82.94,-1.1303,12.4736,
236,Saint-Joseph,RE,82.78,-21.3667,55.6167,
237,Wukari,NG,83.97,7.85,9.7833,
238,Ballina,AU,77.18,-28.8667,153.5667,
239,Port Hedland,AU,89.65,-20.3167,118.5667,
244,Kavaratti,IN,80.58,10.5669,72.642,
