City ID,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nuuk,GL,2021-12-17 05:01:46,64.1835,-51.7216,0.05,86,47,6.42
1,Port Alfred,ZA,2021-12-17 05:11:11,-33.5906,26.891,61.86,49,62,9.24
2,Tigzirt,DZ,2021-12-17 05:11:12,36.8886,4.1198,51.62,58,0,7.23
3,Provideniya,RU,2021-12-17 05:11:12,64.3833,-173.3,9.63,97,99,2.8
4,Chuy,UY,2021-12-17 05:11:12,-33.6971,-53.4616,64.69,79,44,9.71
5,Bengkulu,ID,2021-12-17 05:11:13,-3.8004,102.2655,76.39,92,100,1.88
6,Suruc,TR,2021-12-17 05:11:13,36.9761,38.425,44.8,81,2,2.48
7,Millau,FR,2021-12-17 05:11:14,44.0833,2.9167,37.0,79,0,4.59
8,Fairbanks,US,2021-12-17 05:10:02,64.8378,-147.7164,5.59,81,90,0.0
9,Saint-Pierre,RE,2021-12-17 05:11:14,-21.3393,55.4781,79.29,74,0,12.66
10,Cape Town,ZA,2021-12-17 05:08:59,-33.9258,18.4232,64.11,68,0,4.0
11,Bluff,NZ,2021-12-17 05:07:59,-46.6,168.3333,55.8,76,62,26.53
12,Alta Floresta,BR,2021-12-17 04:59:56,-9.8756,-56.0861,72.46,98,99,1.61
13,Atuona,PF,2021-12-17 05:06:47,-9.8,-139.0333,78.15,71,23,12.28
14,Qaanaaq,GL,2021-12-17 05:08:01,77.484,-69.3632,-2.9,97,100,2.46
15,Constitucion,CL,2021-12-17 05:01:59,-35.3333,-72.4167,55.22,80,73,3.09
16,Pho Chai,TH,2021-12-17 05:11:16,16.3283,103.7703,88.09,46,40,16.64
17,Souillac,MU,2021-12-17 05:11:16,-20.5167,57.5167,83.35,64,13,9.51
18,Nome,US,2021-12-17 05:11:17,64.5011,-165.4064,26.67,93,90,6.91
19,Ribeira Grande,PT,2021-12-17 05:08:00,38.5167,-28.7,61.68,68,79,29.57
20,Ponta Do Sol,PT,2021-12-17 05:11:17,32.6667,-17.1,63.72,77,16,8.08
21,Rikitea,PF,2021-12-17 05:11:18,-23.1203,-134.9692,75.51,74,85,19.3
22,Saint-Augustin,CA,2021-12-17 05:11:18,51.226,-58.6502,27.64,85,100,13.53
23,Cabo San Lucas,MX,2021-12-17 05:08:29,22.8909,-109.9124,73.51,79,100,1.01
24,Butaritari,KI,2021-12-17 05:06:50,3.0707,172.7902,82.22,76,73,10.63
25,Busselton,AU,2021-12-17 05:09:42,-33.65,115.3333,73.04,43,74,17.72
26,Mirante Do Paranapanema,BR,2021-12-17 05:11:19,-22.2919,-51.9064,71.11,94,29,5.1
27,Hithadhoo,MV,2021-12-17 05:11:20,-0.6,73.0833,81.99,73,73,4.27
28,Hermanus,ZA,2021-12-17 05:11:20,-34.4187,19.2345,59.81,67,0,25.72
29,Mataura,NZ,2021-12-17 05:11:21,-46.1927,168.8643,55.47,97,48,11.12
30,Bodden Town,KY,2021-12-17 05:07:01,19.2833,-81.25,76.93,94,40,5.75
31,Acari,PE,2021-12-17 05:11:21,-15.4311,-74.6158,69.42,82,88,3.8
32,Talnakh,RU,2021-12-17 05:11:22,69.4865,88.3972,-35.81,100,85,0.27
33,Dikson,RU,2021-12-17 05:11:22,73.5069,80.5464,-21.39,99,68,9.15
34,Vaini,TO,2021-12-17 05:11:23,-21.2,-175.2,84.36,79,20,9.22
35,Nikolskoye,RU,2021-12-17 05:06:55,59.7035,30.7861,33.69,95,41,6.71
36,Leningradskiy,RU,2021-12-17 05:11:23,69.3833,178.4167,-12.35,96,100,3.69
37,Sur,OM,2021-12-17 05:11:24,22.5667,59.5289,72.72,52,2,4.18
38,Opunake,NZ,2021-12-17 05:11:24,-39.4556,173.8583,64.35,70,39,20.67
39,Briancon,FR,2021-12-17 05:11:25,44.9,6.65,36.37,77,2,2.35
40,Lebu,CL,2021-12-17 05:11:25,-37.6167,-73.65,52.63,93,7,7.2
41,Tuatapere,NZ,2021-12-17 05:11:26,-46.1333,167.6833,55.81,84,68,15.01
42,Estepona,ES,2021-12-17 05:11:26,36.4276,-5.1459,58.82,84,70,10.22
43,Airai,TL,2021-12-17 05:11:27,-8.9266,125.4092,79.2,50,13,1.9
44,Klaksvik,FO,2021-12-17 05:11:27,62.2266,-6.589,47.32,88,100,18.88
45,Punta Arenas,CL,2021-12-17 05:06:33,-53.15,-70.9167,51.91,76,0,11.5
46,Ushuaia,AR,2021-12-17 05:06:46,-54.8,-68.3,44.26,100,75,2.3
47,Fort Nelson,CA,2021-12-17 05:01:35,58.8053,-122.7002,-32.31,100,26,1.81
48,Chimbote,PE,2021-12-17 05:11:29,-9.0853,-78.5783,66.85,86,76,5.61
49,Mehamn,NO,2021-12-17 05:11:29,71.0357,27.8492,33.75,80,75,9.22
50,Kahului,US,2021-12-17 05:11:30,20.8947,-156.47,74.84,88,40,10.36
51,Kutum,SD,2021-12-17 05:11:30,14.2,24.6667,54.64,36,38,6.29
52,Isangel,VU,2021-12-17 05:09:15,-19.55,169.2667,82.51,61,40,11.5
53,Cuiluan,CN,2021-12-17 05:11:31,47.72,128.648,-5.31,73,61,11.65
54,Tuktoyaktuk,CA,2021-12-17 05:11:31,69.4541,-133.0374,-19.59,91,78,13.87
55,Hilo,US,2021-12-17 05:09:12,19.7297,-155.09,73.27,46,1,4.61
56,Swift Current,CA,2021-12-17 05:11:32,50.2834,-107.8014,0.41,78,90,16.11
